Gene	gene_short_name
6230400D17Rik	6230400D17Rik
6330403K07Rik	6330403K07Rik
6330403L08Rik	6330403L08Rik
6330403N20Rik	6330403N20Rik
6330408A02Rik	6330408A02Rik
6330409D20Rik	6330409D20Rik
6330410L21Rik	6330410L21Rik
6330411D24Rik	6330411D24Rik
6330415B21Rik	6330415B21Rik
6330418K02Rik	6330418K02Rik
6330419E04Rik	6330419E04Rik
6330537M06Rik	6330537M06Rik
6330549D23Rik	6330549D23Rik
6330562C20Rik	6330562C20Rik
6430503K07Rik	6430503K07Rik
6430511E19Rik	6430511E19Rik
6430531B16Rik	6430531B16Rik
6430548M08Rik	6430548M08Rik
6430550D23Rik	6430550D23Rik
6430562O15Rik	6430562O15Rik
6430571L13Rik	6430571L13Rik
6430573F11Rik	6430573F11Rik
6430573P05Rik	6430573P05Rik
6430584L05Rik	6430584L05Rik
6430590A07Rik	6430590A07Rik
6430628N08Rik	6430628N08Rik
6430710M23Rik	6430710M23Rik
6530401F13Rik	6530401F13Rik
6530402F18Rik	6530402F18Rik
6530409C15Rik	6530409C15Rik
6530411M01Rik	6530411M01Rik
6530437J22Rik	6530437J22Rik
6720427I07Rik	6720427I07Rik
6720464F23Rik	6720464F23Rik
6720489N17Rik	6720489N17Rik
6820408C15Rik	6820408C15Rik
6820431F20Rik	6820431F20Rik
7330423F06Rik	7330423F06Rik
8030423F21Rik	8030423F21Rik
8030445P17Rik	8030445P17Rik
8030462N17Rik	8030462N17Rik
8030487O14Rik	8030487O14Rik
8430422M14Rik	8430422M14Rik
8430429K09Rik	8430429K09Rik
8430432A02Rik	8430432A02Rik
9030407P20Rik	9030407P20Rik
9030612E09Rik	9030612E09Rik
9030617O03Rik	9030617O03Rik
9030622O22Rik	9030622O22Rik
9030624G23Rik	9030624G23Rik
9030624J02Rik	9030624J02Rik
9130008F23Rik	9130008F23Rik
9130011E15Rik	9130011E15Rik
9130019O22Rik	9130019O22Rik
9130019P16Rik	9130019P16Rik
9130023H24Rik	9130023H24Rik
9130024F11Rik	9130024F11Rik
9130213A22Rik	9130213A22Rik
9130221H12Rik	9130221H12Rik
9130401M01Rik	9130401M01Rik
9130604C24Rik	9130604C24Rik
9230009I02Rik	9230009I02Rik
9230105E05Rik	9230105E05Rik
9230110C19Rik	9230110C19Rik
9230111E07Rik	9230111E07Rik
9230112E08Rik	9230112E08Rik
9230114K14Rik	9230114K14Rik
9230116N13Rik	9230116N13Rik
9330020H09Rik	9330020H09Rik
9330102E08Rik	9330102E08Rik
9330104G04Rik	9330104G04Rik
9330111N05Rik	9330111N05Rik
9330118I20Rik	9330118I20Rik
9330121J05Rik	9330121J05Rik
9330121K16Rik	9330121K16Rik
9330132A10Rik	9330132A10Rik
9330151L19Rik	9330151L19Rik
9330154J02Rik	9330154J02Rik
9330158H04Rik	9330158H04Rik
9330159F19Rik	9330159F19Rik
9330159M07Rik	9330159M07Rik
9330160F10Rik	9330160F10Rik
9330162012Rik	9330162012Rik
9330162G02Rik	9330162G02Rik
9330175M20Rik	9330175M20Rik
9330182L06Rik	9330182L06Rik
9430015G10Rik	9430015G10Rik
9430020K01Rik	9430020K01Rik
9430021M05Rik	9430021M05Rik
9430034N14Rik	9430034N14Rik
9430037G07Rik	9430037G07Rik
9430038I01Rik	9430038I01Rik
9430041J12Rik	9430041J12Rik
9430053O09Rik	9430053O09Rik
9430060I03Rik	9430060I03Rik
9430064I24Rik	9430064I24Rik
9430065F17Rik	9430065F17Rik
9430087J23Rik	9430087J23Rik
9430091E24Rik	9430091E24Rik
9430092D12Rik	9430092D12Rik
9430097D07Rik	9430097D07Rik
9430098F02Rik	9430098F02Rik
9530026F06Rik	9530026F06Rik
9530026P05Rik	9530026P05Rik
9530027J09Rik	9530027J09Rik
9530036O11Rik	9530036O11Rik
9530051G07Rik	9530051G07Rik
9530052E02Rik	9530052E02Rik
9530056K15Rik	9530056K15Rik
9530059O14Rik	9530059O14Rik
9530062K07Rik	9530062K07Rik
9530068E07Rik	9530068E07Rik
9530077C05Rik	9530077C05Rik
9530078K11Rik	9530078K11Rik
9530080O11Rik	9530080O11Rik
9530082P21Rik	9530082P21Rik
9530085L11Rik	9530085L11Rik
9630001P10Rik	9630001P10Rik
9630013K17Rik	9630013K17Rik
9630041A04Rik	9630041A04Rik
9930004E17Rik	9930004E17Rik
9930012K11Rik	9930012K11Rik
9930014A18Rik	9930014A18Rik
9930021J03Rik	9930021J03Rik
9930104L06Rik	9930104L06Rik
A030001D20Rik	A030001D20Rik
A130010J15Rik	A130010J15Rik
A130014A01Rik	A130014A01Rik
A130051J06Rik	A130051J06Rik
